		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
07/10/13	11:11 p	22.6	22.6	22.6	63	15.2	2.7	W	0.16	4.0	SSW	22.6	22.8	22.8	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
07/10/13	11:12 p	22.7	22.7	22.6	62	15.0	1.8	W	0.11	4.0	W	22.7	22.9	22.9	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
07/10/13	11:13 p	22.7	22.7	22.7	62	15.0	0.0	---	0.00	0.0	---	22.7	22.9	22.9	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1709	24	1	100.0	1
07/10/13	11:14 p	22.7	22.7	22.7	59	14.3	0.0	---	0.00	0.0	---	22.7	22.9	22.9	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
07/10/13	11:15 p	22.8	22.8	22.7	59	14.3	0.0	---	0.00	0.0	---	22.8	22.9	22.9	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	24	1	100.0	1
07/10/13	11:16 p	22.8	22.8	22.8	59	14.4	0.0	---	0.00	0.0	---	22.8	23.0	23.0	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
07/10/13	11:17 p	22.9	22.9	22.8	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1708	23	1	100.0	1
07/10/13	11:18 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.7	10.38	1.1709	24	1	100.0	1
07/10/13	11:19 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.6	10.39	1.1711	23	1	100.0	1
07/10/13	11:20 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.6	10.39	1.1712	24	1	100.0	1
07/10/13	11:21 p	22.9	23.0	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.4	57	14.4	23.6	10.39	1.1712	23	1	100.0	1
07/10/13	11:22 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.3	57	14.3	23.6	10.39	1.1715	23	1	100.0	1
07/10/13	11:23 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.3	57	14.3	23.6	10.39	1.1714	24	1	100.0	1
07/10/13	11:24 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.3	57	14.3	23.6	10.39	1.1714	23	1	100.0	1
07/10/13	11:25 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.3	57	14.3	23.5	10.39	1.1717	24	1	100.0	1
07/10/13	11:26 p	22.9	22.9	22.9	58	14.2	0.0	---	0.00	0.0	---	22.9	23.1	23.1	759.6	0.00	0.0	0.000	0.003	23.2	57	14.2	23.4	10.40	1.1720	23	1	100.0	1
07/10/13	11:27 p	22.8	22.9	22.8	58	14.1	0.0	---	0.00	0.0	---	22.8	23.0	23.0	759.6	0.00	0.0	0.000	0.003	23.2	57	14.2	23.3	10.40	1.1722	24	1	100.0	1
07/10/13	11:28 p	22.8	22.8	22.8	58	14.1	0.0	---	0.00	0.0	---	22.8	23.0	23.0	759.6	0.00	0.0	0.000	0.003	23.2	57	14.2	23.3	10.40	1.1722	23	1	100.0	1
07/10/13	11:29 p	22.8	22.8	22.8	58	14.1	0.0	---	0.00	0.0	---	22.8	22.9	22.9	759.6	0.00	0.0	0.000	0.003	23.1	57	14.1	23.3	10.41	1.1725	23	1	100.0	1
07/10/13	11:30 p	22.7	22.8	22.7	58	14.0	0.0	---	0.00	0.0	---	22.7	22.8	22.8	759.6	0.00	0.0	0.000	0.003	23.1	57	14.1	23.3	10.41	1.1725	24	1	100.0	1
07/10/13	11:31 p	22.7	22.7	22.7	58	14.0	0.0	---	0.00	0.0	---	22.7	22.8	22.8	759.6	0.00	0.0	0.000	0.003	23.1	57	14.1	23.2	10.41	1.1729	23	1	100.0	1
07/10/13	11:32 p	22.7	22.7	22.7	58	14.0	0.0	---	0.00	0.0	---	22.7	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.0	57	14.0	23.2	10.41	1.1731	24	1	100.0	1
07/10/13	11:33 p	22.6	22.7	22.6	58	13.9	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	23.0	57	14.0	23.2	10.41	1.1731	23	1	100.0	1
07/10/13	11:34 p	22.6	22.6	22.6	58	13.9	0.0	---	0.00	0.0	---	22.6	22.7	22.7	759.6	0.00	0.0	0.000	0.003	22.9	58	14.2	23.1	10.62	1.1731	23	1	100.0	1
07/10/13	11:35 p	22.6	22.6	22.6	58	13.9	0.0	---	0.00	0.0	---	22.6	22.6	22.6	759.6	0.00	0.0	0.000	0.003	22.9	58	14.2	23.1	10.62	1.1733	24	1	100.0	1
07/10/13	11:36 p	22.5	22.6	22.5	58	13.8	0.0	---	0.00	0.0	---	22.5	22.5	22.5	759.6	0.00	0.0	0.000	0.003	22.9	58	14.2	23.1	10.62	1.1734	23	1	100.0	1
07/10/13	11:37 p	22.4	22.5	22.4	58	13.8	0.0	---	0.00	0.0	---	22.4	22.4	22.4	759.6	0.00	0.0	0.000	0.003	22.8	58	14.1	23.0	10.63	1.1736	24	1	100.0	1
07/10/13	11:38 p	22.4	22.4	22.4	58	13.8	0.0	---	0.00	0.0	---	22.4	22.4	22.4	759.6	0.00	0.0	0.000	0.003	22.8	58	14.1	23.0	10.63	1.1737	23	1	100.0	1
07/10/13	11:39 p	22.4	22.4	22.4	58	13.7	0.0	---	0.00	0.0	---	22.4	22.3	22.3	759.6	0.00	0.0	0.000	0.003	22.8	58	14.1	22.9	10.63	1.1740	24	1	100.0	1
07/10/13	11:40 p	22.3	22.4	22.3	58	13.7	0.0	---	0.00	0.0	---	22.3	22.2	22.2	759.6	0.00	0.0	0.000	0.003	22.8	58	14.1	22.9	10.63	1.1739	23	1	100.0	1
07/10/13	11:41 p	22.3	22.3	22.3	59	13.9	0.0	---	0.00	0.0	---	22.3	22.3	22.3	759.6	0.00	0.0	0.000	0.003	22.7	58	14.0	22.8	10.63	1.1741	23	1	100.0	1
07/10/13	11:42 p	22.3	22.3	22.3	59	13.9	0.0	---	0.00	0.0	---	22.3	22.2	22.2	759.6	0.00	0.0	0.000	0.003	22.7	58	14.0	22.8	10.63	1.1742	24	1	100.0	1
07/10/13	11:43 p	22.2	22.3	22.2	59	13.8	0.0	---	0.00	0.0	---	22.2	22.1	22.1	759.6	0.00	0.0	0.000	0.003	22.7	58	14.0	22.7	10.64	1.1744	23	1	100.0	1
07/10/13	11:44 p	22.2	22.2	22.2	59	13.8	0.0	---	0.00	0.0	---	22.2	22.1	22.1	759.6	0.00	0.0	0.000	0.003	22.7	58	14.0	22.7	10.64	1.1744	24	1	100.0	1
07/10/13	11:45 p	22.2	22.2	22.2	59	13.8	0.0	---	0.00	0.0	---	22.2	22.1	22.1	759.5	0.00	0.0	0.000	0.003	22.6	58	13.9	22.7	10.64	1.1747	23	1	100.0	1
07/10/13	11:46 p	22.1	22.2	22.1	59	13.7	0.0	---	0.00	0.0	---	22.1	21.9	21.9	759.6	0.00	0.0	0.000	0.003	22.6	58	13.9	22.7	10.64	1.1747	23	1	100.0	1
07/10/13	11:47 p	22.1	22.1	22.1	59	13.7	0.0	---	0.00	0.0	---	22.1	21.9	21.9	759.6	0.00	0.0	0.000	0.003	22.6	58	13.9	22.7	10.64	1.1747	24	1	100.0	1
07/10/13	11:48 p	22.1	22.1	22.1	59	13.7	0.0	---	0.00	0.0	---	22.1	21.9	21.9	759.6	0.00	0.0	0.000	0.003	22.6	58	13.9	22.6	10.65	1.1750	23	1	100.0	1
07/10/13	11:49 p	22.0	22.1	22.0	59	13.6	0.0	---	0.00	0.0	---	22.0	21.8	21.8	759.6	0.00	0.0	0.000	0.003	22.6	58	13.9	22.6	10.65	1.1750	24	1	100.0	1
07/10/13	11:50 p	22.0	22.0	22.0	59	13.6	0.0	---	0.00	0.0	---	22.0	21.8	21.8	759.6	0.00	0.0	0.000	0.003	22.5	58	13.8	22.5	10.65	1.1753	23	1	100.0	1
07/10/13	11:51 p	21.9	22.0	21.9	60	13.8	0.0	---	0.00	0.0	---	21.9	21.8	21.8	759.6	0.00	0.0	0.000	0.003	22.5	58	13.8	22.5	10.65	1.1753	24	1	100.0	1
07/10/13	11:52 p	21.9	21.9	21.9	60	13.8	0.0	---	0.00	0.0	---	21.9	21.8	21.8	759.6	0.00	0.0	0.000	0.003	22.5	59	14.1	22.6	10.85	1.1749	23	1	100.0	1
07/10/13	11:53 p	21.9	21.9	21.9	60	13.8	0.0	---	0.00	0.0	---	21.9	21.7	21.7	759.5	0.00	0.0	0.000	0.002	22.4	59	14.0	22.4	10.85	1.1752	23	1	100.0	1
07/10/13	11:54 p	21.9	21.9	21.9	60	13.8	0.0	---	0.00	0.0	---	21.9	21.7	21.7	759.5	0.00	0.0	0.000	0.002	22.4	59	14.0	22.4	10.85	1.1752	24	1	100.0	1
07/10/13	11:55 p	21.8	21.9	21.8	60	13.7	0.0	---	0.00	0.0	---	21.8	21.6	21.6	759.6	0.00	0.0	0.000	0.002	22.4	59	14.0	22.4	10.86	1.1755	23	1	100.0	1
07/10/13	11:56 p	21.8	21.8	21.8	60	13.7	0.0	---	0.00	0.0	---	21.8	21.6	21.6	759.5	0.00	0.0	0.000	0.002	22.4	59	14.0	22.4	10.86	1.1754	24	1	100.0	1
07/10/13	11:57 p	21.8	21.8	21.8	60	13.7	0.0	---	0.00	0.0	---	21.8	21.6	21.6	759.6	0.00	0.0	0.000	0.002	22.4	59	14.0	22.4	10.86	1.1755	23	1	100.0	1
07/10/13	11:58 p	21.8	21.8	21.8	60	13.7	0.0	---	0.00	0.0	---	21.8	21.6	21.6	759.6	0.00	0.0	0.000	0.002	22.3	59	13.9	22.3	10.86	1.1758	23	1	100.0	1
07/10/13	11:59 p	21.8	21.8	21.7	60	13.7	0.0	---	0.00	0.0	---	21.8	21.6	21.6	759.5	0.00	0.0	0.000	0.002	22.3	59	13.9	22.3	10.86	1.1758	23	1	100.0	1
07/11/13	12:00 a	21.7	21.7	21.7	60	13.6	0.0	---	0.00	0.0	---	21.7	21.4	21.4	759.6	0.00	0.0	0.000	0.002	22.3	59	13.9	22.3	10.86	1.1758	22	1	95.7	1
07/11/13	12:02 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	------	0.00	0.0	---	---	---	---	---	---	---	---	0	1	0.0	1
07/11/13	12:03 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	758.3	0.00	0.0	---	---	20.0	65	13.2	20.1	11.89	1.1840	0	1	0.0	1
07/11/13	12:04 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	758.3	0.00	0.0	---	---	20.0	65	13.2	20.1	11.89	1.1841	0	1	0.0	1
07/11/13	12:05 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	758.4	0.00	0.0	---	---	20.2	64	13.2	20.2	11.68	1.1833	0	1	0.0	1
07/11/13	12:06 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	758.3	0.00	0.0	---	---	20.3	64	13.2	20.2	11.68	1.1829	0	1	0.0	1
07/11/13	12:07 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	758.4	0.00	0.0	---	---	20.4	64	13.4	20.4	11.67	1.1821	0	1	0.0	1
07/11/13	12:08 a	20.0	20.0	19.9	65	13.2	0.0	---	0.00	0.0	---	20.0	20.1	20.1	758.4	0.00	0.0	0.000	0.001	20.6	64	13.6	20.5	11.67	1.1812	18	1	78.3	1
07/11/13	12:09 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.5	64	13.5	20.4	11.67	1.1818	24	1	100.0	1
07/11/13	12:10 a	20.0	20.0	20.0	65	13.2	0.0	---	0.00	0.0	---	20.0	20.1	20.1	758.4	0.00	0.0	0.000	0.001	20.4	64	13.3	20.3	11.68	1.1824	23	1	100.0	1
07/11/13	12:11 a	20.0	20.0	20.0	65	13.2	0.0	---	0.00	0.0	---	20.0	20.1	20.1	758.3	0.00	0.0	0.000	0.001	20.3	64	13.3	20.3	11.68	1.1826	23	1	100.0	1
07/11/13	12:12 a	20.0	20.0	20.0	65	13.2	0.0	---	0.00	0.0	---	20.0	20.1	20.1	758.4	0.00	0.0	0.000	0.001	20.3	64	13.3	20.3	11.68	1.1827	24	1	100.0	1
07/11/13	12:13 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.3	65	13.5	20.3	11.88	1.1824	23	1	100.0	1
07/11/13	12:14 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.3	65	13.5	20.3	11.88	1.1824	24	1	100.0	1
07/11/13	12:15 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.3	65	13.5	20.3	11.88	1.1824	23	1	100.0	1
07/11/13	12:16 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.3	65	13.5	20.3	11.88	1.1824	23	1	100.0	1
07/11/13	12:17 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.3	65	13.5	20.3	11.88	1.1824	24	1	100.0	1
07/11/13	12:18 a	20.0	20.0	20.0	66	13.5	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.88	1.1821	23	1	100.0	1
07/11/13	12:19 a	20.0	20.0	20.0	67	13.7	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.88	1.1821	24	1	100.0	1
07/11/13	12:20 a	20.0	20.1	20.0	67	13.7	0.0	---	0.00	0.0	---	20.0	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.88	1.1821	23	1	100.0	1
07/11/13	12:21 a	20.1	20.1	20.0	67	13.7	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.88	1.1821	24	1	100.0	1
07/11/13	12:22 a	20.1	20.1	20.0	67	13.7	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.87	1.1819	23	1	100.0	1
07/11/13	12:23 a	20.1	20.1	20.1	67	13.7	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.87	1.1819	23	1	100.0	1
07/11/13	12:24 a	20.1	20.1	20.1	67	13.7	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.87	1.1819	24	1	100.0	1
07/11/13	12:25 a	20.1	20.1	20.1	67	13.7	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.4	65	13.6	20.4	11.87	1.1819	23	1	100.0	1
07/11/13	12:26 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.5	65	13.7	20.4	11.87	1.1815	24	1	100.0	1
07/11/13	12:27 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.5	65	13.7	20.4	11.87	1.1815	23	1	100.0	1
07/11/13	12:28 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.5	65	13.7	20.4	11.87	1.1815	23	1	100.0	1
07/11/13	12:29 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.6	65	13.7	20.5	11.87	1.1812	24	1	100.0	1
07/11/13	12:30 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.6	65	13.7	20.5	11.87	1.1812	23	1	100.0	1
07/11/13	12:31 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.6	65	13.7	20.5	11.87	1.1812	24	1	100.0	1
07/11/13	12:32 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.6	65	13.7	20.5	11.87	1.1812	23	1	100.0	1
07/11/13	12:33 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.6	65	13.8	20.6	11.87	1.1809	23	1	100.0	1
07/11/13	12:34 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.6	65	13.8	20.6	11.87	1.1810	24	1	100.0	1
07/11/13	12:35 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.6	65	13.8	20.6	11.87	1.1809	23	1	100.0	1
07/11/13	12:36 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.7	64	13.6	20.6	11.67	1.1810	24	1	100.0	1
07/11/13	12:37 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.7	64	13.6	20.6	11.67	1.1810	23	1	100.0	1
07/11/13	12:38 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.7	64	13.6	20.6	11.67	1.1810	24	1	100.0	1
07/11/13	12:39 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.7	64	13.7	20.6	11.66	1.1806	23	1	100.0	1
07/11/13	12:40 a	20.1	20.1	20.1	66	13.5	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.7	64	13.7	20.6	11.66	1.1806	23	1	100.0	1
07/11/13	12:41 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.8	65	14.0	20.7	11.86	1.1801	24	1	100.0	1
07/11/13	12:42 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	65	14.0	20.7	11.86	1.1800	23	1	100.0	1
07/11/13	12:43 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	65	14.0	20.7	11.86	1.1801	24	1	100.0	1
07/11/13	12:44 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.8	65	14.0	20.7	11.86	1.1798	23	1	100.0	1
07/11/13	12:45 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	64	13.8	20.7	11.66	1.1801	23	1	100.0	1
07/11/13	12:46 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.4	0.00	0.0	0.000	0.001	20.8	64	13.8	20.7	11.66	1.1801	24	1	100.0	1
07/11/13	12:47 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	64	13.8	20.7	11.66	1.1801	23	1	100.0	1
07/11/13	12:48 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	64	13.8	20.7	11.66	1.1801	24	1	100.0	1
07/11/13	12:49 a	20.1	20.1	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	64	13.8	20.7	11.66	1.1801	23	1	100.0	1
07/11/13	12:50 a	20.1	20.2	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.8	64	13.8	20.7	11.66	1.1801	24	1	100.0	1
07/11/13	12:51 a	20.1	20.2	20.1	66	13.6	0.0	---	0.00	0.0	---	20.1	20.2	20.2	758.3	0.00	0.0	0.000	0.001	20.9	64	13.8	20.7	11.66	1.1797	23	1	100.0	1
07/11/13	12:52 a	20.2	20.2	20.1	66	13.6	0.0	---	0.00	0.0	---	20.2	20.3	20.3	758.3	0.00	0.0	0.000	0.001	20.9	64	13.8	20.7	11.66	1.1797	23	1	100.0	1
07/11/13	12:53 a	20.2	20.2	20.2	66	13.6	0.0	---	0.00	0.0	---	20.2	20.3	20.3	758.3	0.00	0.0	0.000	0.001	20.9	64	13.8	20.7	11.66	1.1797	24	1	100.0	1
