APITime,NO,NO2,NOx
04/06/2013 15:52:25,0.1,3.3,3.4
04/06/2013 15:52:27,0.1,3.3,3.4
04/06/2013 15:52:28,0.1,3.3,3.4
04/06/2013 15:52:29,0.1,3.3,3.4
04/06/2013 15:52:31,0.1,3.3,3.4
04/06/2013 15:52:32,0.1,3.3,3.4
04/06/2013 15:52:33,0.1,3.3,3.4
04/06/2013 15:52:34,0.1,3.3,3.4
04/06/2013 15:52:36,0.1,3.3,3.4
04/06/2013 15:52:37,0.1,3.3,3.4
04/06/2013 15:52:38,0.1,3.3,3.4
04/06/2013 15:52:40,0.1,3.3,3.4
04/06/2013 15:52:41,0.1,3.3,3.3
04/06/2013 15:52:42,0.1,3.3,3.3
04/06/2013 15:52:44,0.1,3.3,3.3
04/06/2013 15:52:45,0.1,3.3,3.3
04/06/2013 15:52:46,0.1,3.3,3.3
04/06/2013 15:52:48,0.1,3.3,3.3
04/06/2013 15:52:49,0.1,3.3,3.3
04/06/2013 15:52:50,0.1,3.3,3.3
04/06/2013 15:52:52,0.1,3.3,3.3
04/06/2013 15:52:53,0.1,3.3,3.3
04/06/2013 15:52:54,0.1,3.3,3.3
04/06/2013 15:52:56,0.1,3.3,3.3
04/06/2013 15:52:57,0.1,3.3,3.3
04/06/2013 15:52:58,0.1,3.3,3.3
04/06/2013 15:53:00,0.1,3.3,3.3
04/06/2013 15:53:01,0.1,3.3,3.3
04/06/2013 15:53:02,0.1,3.3,3.3
04/06/2013 15:53:04,0.1,3.3,3.3
04/06/2013 15:53:05,0.1,3.3,3.3
04/06/2013 15:53:06,0.1,3.3,3.3
04/06/2013 15:53:08,0.1,3.3,3.3
04/06/2013 15:53:09,0.1,3.3,3.3
04/06/2013 15:53:10,0.1,3.3,3.3
04/06/2013 15:53:11,0.1,3.3,3.3
04/06/2013 15:53:13,0.1,3.3,3.3
04/06/2013 15:53:14,0.1,3.3,3.3
04/06/2013 15:53:15,0.1,3.3,3.3
04/06/2013 15:53:17,0.1,3.3,3.3
04/06/2013 15:53:18,0.1,3.3,3.3
04/06/2013 15:53:20,0.1,3.3,3.3
04/06/2013 15:53:21,0.0,3.3,3.3
04/06/2013 15:53:22,0.0,3.3,3.3
04/06/2013 15:53:24,0.0,3.3,3.3
04/06/2013 15:53:25,0.0,3.3,3.3
04/06/2013 15:53:26,0.0,3.3,3.3
04/06/2013 15:53:27,0.0,3.3,3.3
04/06/2013 15:53:29,0.0,3.2,3.2
04/06/2013 15:53:30,0.0,3.2,3.2
04/06/2013 15:53:31,0.0,3.2,3.2
04/06/2013 15:53:33,0.0,3.2,3.2
04/06/2013 15:53:34,0.0,3.2,3.2
04/06/2013 15:53:36,0.0,3.2,3.2
04/06/2013 15:53:37,0.0,3.2,3.2
04/06/2013 15:53:38,0.0,3.2,3.2
04/06/2013 15:53:40,0.0,3.2,3.2
04/06/2013 15:53:41,0.0,3.2,3.2
04/06/2013 15:53:42,0.0,3.2,3.2
04/06/2013 15:53:44,0.0,3.2,3.2
04/06/2013 15:53:45,0.0,3.2,3.2
04/06/2013 15:53:46,0.0,3.2,3.2
04/06/2013 15:53:48,0.0,3.2,3.2
04/06/2013 15:53:49,0.0,3.2,3.2
04/06/2013 15:53:50,0.0,3.2,3.2
04/06/2013 15:53:52,0.0,3.2,3.2
04/06/2013 15:53:53,0.0,3.2,3.2
04/06/2013 15:53:54,0.0,3.2,3.2
04/06/2013 15:53:56,0.0,3.2,3.2
04/06/2013 15:53:57,0.0,3.2,3.2
04/06/2013 15:53:58,0.0,3.2,3.2
04/06/2013 15:54:00,0.0,3.2,3.2
04/06/2013 15:54:01,0.0,3.2,3.2
04/06/2013 15:54:02,0.0,3.2,3.2
04/06/2013 15:54:04,0.0,3.2,3.2
04/06/2013 15:54:05,0.0,3.2,3.2
04/06/2013 15:54:06,0.0,3.2,3.2
04/06/2013 15:54:08,0.0,3.2,3.2
04/06/2013 15:54:09,0.0,3.2,3.2
04/06/2013 15:54:10,0.0,3.2,3.2
04/06/2013 15:54:12,0.0,3.2,3.2
04/06/2013 15:54:13,0.0,3.2,3.2
04/06/2013 15:54:14,0.0,3.2,3.2
04/06/2013 15:54:16,0.0,3.2,3.2
04/06/2013 15:54:17,0.0,3.2,3.2
04/06/2013 15:54:19,0.0,3.2,3.2
04/06/2013 15:54:20,0.0,3.2,3.2
04/06/2013 15:54:21,0.0,3.2,3.2
04/06/2013 15:54:22,0.0,3.2,3.2
04/06/2013 15:54:24,0.0,3.2,3.2
04/06/2013 15:54:25,-0.1,3.2,3.2
04/06/2013 15:54:26,-0.1,3.2,3.2
04/06/2013 15:54:28,-0.1,3.2,3.2
04/06/2013 15:54:29,-0.1,3.2,3.2
04/06/2013 15:54:30,-0.1,3.2,3.2
04/06/2013 15:54:32,-0.1,3.2,3.2
04/06/2013 15:54:33,-0.1,3.2,3.2
04/06/2013 15:54:35,-0.1,3.2,3.2
04/06/2013 15:54:36,-0.1,3.2,3.2
04/06/2013 15:54:37,-0.1,3.2,3.2
04/06/2013 15:54:39,-0.1,3.2,3.2
04/06/2013 15:54:40,-0.1,3.2,3.2
04/06/2013 15:54:41,-0.1,3.2,3.1
04/06/2013 15:54:43,-0.1,3.2,3.1
04/06/2013 15:54:44,-0.1,3.2,3.1
04/06/2013 15:54:45,-0.1,3.2,3.1
04/06/2013 15:54:47,-0.1,3.2,3.1
04/06/2013 15:54:48,-0.1,3.2,3.1
04/06/2013 15:54:49,-0.1,3.2,3.1
04/06/2013 15:54:51,-0.1,3.2,3.1
04/06/2013 15:54:52,-0.1,3.2,3.1
04/06/2013 15:54:53,-0.1,3.2,3.1
04/06/2013 15:54:55,-0.1,3.2,3.1
04/06/2013 15:54:56,-0.1,3.2,3.1
04/06/2013 15:54:58,-0.1,3.2,3.1
04/06/2013 15:54:59,-0.1,3.2,3.1
04/06/2013 15:55:00,-0.1,3.2,3.1
04/06/2013 15:55:02,-0.1,3.2,3.1
04/06/2013 15:55:03,-0.1,3.2,3.1
04/06/2013 15:55:04,-0.1,3.2,3.1
04/06/2013 15:55:05,-0.1,3.2,3.1
04/06/2013 15:55:07,-0.1,3.2,3.1
04/06/2013 15:55:08,-0.1,3.2,3.1
04/06/2013 15:55:10,-0.1,3.2,3.1
04/06/2013 15:55:11,-0.1,3.2,3.1
04/06/2013 15:55:12,-0.1,3.2,3.1
04/06/2013 15:55:13,-0.1,3.2,3.1
04/06/2013 15:55:15,-0.1,3.2,3.1
04/06/2013 15:55:16,-0.1,3.1,3.1
04/06/2013 15:55:18,-0.1,3.1,3.1
04/06/2013 15:55:19,-0.1,3.1,3.1
04/06/2013 15:55:20,-0.1,3.1,3.1
04/06/2013 15:55:22,-0.1,3.1,3.1
04/06/2013 15:55:23,-0.1,3.1,3.1
04/06/2013 15:55:24,-0.1,3.1,3.1
04/06/2013 15:55:26,-0.1,3.1,3.1
04/06/2013 15:55:27,-0.1,3.1,3.1
04/06/2013 15:55:28,-0.1,3.1,3.1
04/06/2013 15:55:30,-0.1,3.2,3.1
04/06/2013 15:55:31,-0.1,3.2,3.1
04/06/2013 15:55:32,-0.1,3.2,3.1
04/06/2013 15:55:34,-0.1,3.2,3.1
04/06/2013 15:55:35,-0.1,3.2,3.1
04/06/2013 15:55:36,-0.1,3.2,3.1
04/06/2013 15:55:38,-0.1,3.1,3.1
04/06/2013 15:55:39,-0.1,3.1,3.1
04/06/2013 15:55:40,-0.1,3.1,3.1
04/06/2013 15:55:42,-0.1,3.1,3.1
04/06/2013 15:55:43,-0.1,3.1,3.1
04/06/2013 15:55:44,-0.1,3.1,3.1
04/06/2013 15:55:46,-0.1,3.1,3.1
04/06/2013 15:55:47,-0.1,3.2,3.1
04/06/2013 15:55:48,-0.1,3.2,3.1
04/06/2013 15:55:50,-0.1,3.2,3.1
04/06/2013 15:55:51,-0.1,3.2,3.1
04/06/2013 15:55:52,-0.1,3.2,3.1
04/06/2013 15:55:54,-0.1,3.2,3.1
04/06/2013 15:55:55,-0.1,3.2,3.0
04/06/2013 15:55:57,-0.1,3.2,3.0
04/06/2013 15:55:58,-0.1,3.2,3.0
04/06/2013 15:55:59,-0.1,3.2,3.0
04/06/2013 15:56:00,-0.1,3.2,3.0
04/06/2013 15:56:02,-0.1,3.2,3.0
04/06/2013 15:56:03,-0.1,3.2,3.1
04/06/2013 15:56:05,-0.1,3.2,3.1
04/06/2013 15:56:06,-0.1,3.2,3.1
04/06/2013 15:56:07,-0.1,3.2,3.1
04/06/2013 15:56:09,-0.1,3.2,3.1
04/06/2013 15:56:10,-0.1,3.2,3.1
04/06/2013 15:56:11,-0.1,3.2,3.1
04/06/2013 15:56:13,-0.1,3.3,3.1
04/06/2013 15:56:14,-0.1,3.3,3.1
04/06/2013 15:56:15,-0.1,3.3,3.1
04/06/2013 15:56:17,-0.1,3.3,3.1
04/06/2013 15:56:18,-0.1,3.3,3.1
04/06/2013 15:56:19,-0.1,3.3,3.1
04/06/2013 15:56:21,-0.1,3.3,3.1
04/06/2013 15:56:22,-0.1,3.3,3.1
04/06/2013 15:56:23,-0.1,3.3,3.1
04/06/2013 15:56:25,-0.1,3.3,3.1
04/06/2013 15:56:26,-0.1,3.3,3.1
04/06/2013 15:56:27,-0.1,3.3,3.1
04/06/2013 15:56:29,-0.1,3.3,3.1
04/06/2013 15:56:30,-0.1,3.3,3.1
04/06/2013 15:56:31,-0.1,3.3,3.1
04/06/2013 15:56:33,-0.1,3.3,3.1
04/06/2013 15:56:34,-0.1,3.3,3.2
04/06/2013 15:56:35,-0.1,3.3,3.2
04/06/2013 15:56:37,-0.1,3.3,3.2
04/06/2013 15:56:38,-0.1,3.3,3.2
04/06/2013 15:56:39,-0.1,3.3,3.2
04/06/2013 15:56:41,-0.1,3.3,3.2
04/06/2013 15:56:42,-0.1,3.3,3.2
04/06/2013 15:56:43,-0.1,3.3,3.2
04/06/2013 15:56:45,-0.1,3.3,3.2
04/06/2013 15:56:46,-0.1,3.3,3.2
04/06/2013 15:56:47,-0.1,3.3,3.2
04/06/2013 15:56:49,-0.1,3.3,3.2
04/06/2013 15:56:50,-0.1,3.3,3.2
04/06/2013 15:56:51,-0.1,3.3,3.2
04/06/2013 15:56:53,-0.1,3.3,3.2
04/06/2013 15:56:54,-0.1,3.3,3.2
04/06/2013 15:56:55,-0.1,3.3,3.2
04/06/2013 15:56:57,-0.1,3.3,3.2
04/06/2013 15:56:58,-0.1,3.3,3.2
04/06/2013 15:57:00,-0.1,3.4,3.4
04/06/2013 15:57:01,-0.1,3.4,3.4
04/06/2013 15:57:02,-0.1,3.4,3.4
04/06/2013 15:57:03,-0.1,3.4,3.4
04/06/2013 15:57:05,-0.1,3.4,3.4
04/06/2013 15:57:06,-0.1,3.4,3.4
04/06/2013 15:57:08,-0.1,3.4,3.6
04/06/2013 15:57:09,-0.1,3.6,3.6
04/06/2013 15:57:10,-0.1,3.6,3.6
04/06/2013 15:57:12,-0.1,3.6,3.6
04/06/2013 15:57:13,-0.1,3.6,3.6
04/06/2013 15:57:14,-0.1,3.6,3.6
04/06/2013 15:57:16,-0.1,3.6,3.6
04/06/2013 15:57:17,-0.1,3.9,3.8
04/06/2013 15:57:18,-0.1,3.9,3.8
04/06/2013 15:57:20,-0.1,3.9,3.8
04/06/2013 15:57:21,-0.1,3.9,3.8
04/06/2013 15:57:22,-0.1,3.9,3.8
04/06/2013 15:57:23,-0.1,3.9,3.8
04/06/2013 15:57:25,-0.1,4.0,4.0
04/06/2013 15:57:26,0.0,4.0,4.0
04/06/2013 15:57:28,0.0,4.0,4.0
04/06/2013 15:57:29,0.0,4.0,4.0
04/06/2013 15:57:30,0.0,4.0,4.0
04/06/2013 15:57:32,0.0,4.0,4.0
04/06/2013 15:57:33,0.0,4.0,4.0
04/06/2013 15:57:34,0.0,4.0,4.0
04/06/2013 15:57:36,0.0,4.0,4.0
04/06/2013 15:57:37,0.0,4.0,4.0
04/06/2013 15:57:38,0.0,4.2,4.2
04/06/2013 15:57:39,0.0,4.2,4.2
04/06/2013 15:57:41,0.0,4.2,4.2
04/06/2013 15:57:42,0.0,4.2,4.2
04/06/2013 15:57:43,0.0,4.2,4.2
04/06/2013 15:57:45,0.0,4.2,4.2
04/06/2013 15:57:46,0.0,4.2,4.2
04/06/2013 15:57:47,0.1,4.3,4.5
04/06/2013 15:57:49,0.1,4.3,4.5
04/06/2013 15:57:50,0.1,4.3,4.5
04/06/2013 15:57:51,0.1,4.3,4.5
04/06/2013 15:57:53,0.1,4.3,4.5
04/06/2013 15:57:54,0.1,4.3,4.5
04/06/2013 15:57:55,0.2,4.5,4.7
04/06/2013 15:57:57,0.2,4.5,4.7
04/06/2013 15:57:58,0.2,4.5,4.7
04/06/2013 15:57:59,0.2,4.5,4.7
04/06/2013 15:58:01,0.2,4.5,4.7
04/06/2013 15:58:02,0.2,4.5,4.7
04/06/2013 15:58:03,0.2,4.5,4.7
04/06/2013 15:58:05,0.3,4.7,4.9
04/06/2013 15:58:06,0.3,4.7,4.9
04/06/2013 15:58:07,0.3,4.7,4.9
04/06/2013 15:58:09,0.3,4.7,4.9
04/06/2013 15:58:10,0.3,4.7,4.9
04/06/2013 15:58:11,0.3,4.7,4.9
04/06/2013 15:58:13,0.4,5.0,5.4
04/06/2013 15:58:14,0.4,5.0,5.4
04/06/2013 15:58:15,0.4,5.0,5.4
04/06/2013 15:58:16,0.4,5.0,5.4
04/06/2013 15:58:18,0.4,5.0,5.4
04/06/2013 15:58:19,0.4,5.0,5.4
04/06/2013 15:58:20,0.4,5.0,5.4
04/06/2013 15:58:22,0.4,5.3,5.8
04/06/2013 15:58:23,0.4,5.3,5.8
04/06/2013 15:58:24,0.4,5.3,5.8
04/06/2013 15:58:26,0.4,5.3,5.8
04/06/2013 15:58:27,0.4,5.3,5.8
04/06/2013 15:58:28,0.4,5.3,5.8
04/06/2013 15:58:30,0.5,5.6,6.2
04/06/2013 15:58:31,0.5,5.6,6.2
04/06/2013 15:58:32,0.5,5.6,6.2
04/06/2013 15:58:34,0.5,5.6,6.2
04/06/2013 15:58:35,0.5,5.6,6.2
04/06/2013 15:58:36,0.5,5.6,6.2
04/06/2013 15:58:38,0.5,5.6,6.2
04/06/2013 15:58:39,0.5,5.6,6.2
04/06/2013 15:58:40,0.5,5.6,6.2
04/06/2013 15:58:42,0.5,5.6,6.2
04/06/2013 15:58:43,0.6,5.8,6.5
04/06/2013 15:58:44,0.6,5.8,6.5
04/06/2013 15:58:46,0.6,5.8,6.5
04/06/2013 15:58:47,0.6,5.8,6.5
04/06/2013 15:58:48,0.6,5.8,6.5
04/06/2013 15:58:50,0.6,5.8,6.5
04/06/2013 15:58:51,0.7,6.2,6.9
04/06/2013 15:58:52,0.7,6.2,6.9
04/06/2013 15:58:54,0.7,6.2,6.9
04/06/2013 15:58:55,0.7,6.2,6.9
04/06/2013 15:58:56,0.7,6.2,6.9
04/06/2013 15:58:58,0.7,6.2,6.9
04/06/2013 15:58:59,0.7,6.2,6.9
04/06/2013 15:59:00,0.8,6.6,7.4
04/06/2013 15:59:02,0.8,6.6,7.4
04/06/2013 15:59:03,0.8,6.6,7.4
04/06/2013 15:59:05,0.8,6.6,7.4
04/06/2013 15:59:06,0.8,6.6,7.4
04/06/2013 15:59:07,0.8,6.6,7.4
04/06/2013 15:59:09,0.9,7.0,7.9
04/06/2013 15:59:10,0.9,7.0,7.9
04/06/2013 15:59:11,0.9,7.0,7.9
04/06/2013 15:59:12,0.9,7.0,7.9
04/06/2013 15:59:14,0.9,7.0,7.9
04/06/2013 15:59:15,0.9,7.0,7.9
04/06/2013 15:59:17,0.9,7.0,8.4
04/06/2013 15:59:18,1.1,7.3,8.4
04/06/2013 15:59:19,1.1,7.3,8.4
04/06/2013 15:59:21,1.1,7.3,8.4
04/06/2013 15:59:22,1.1,7.3,8.4
04/06/2013 15:59:23,1.1,7.3,8.4
04/06/2013 15:59:25,1.1,7.3,8.4
04/06/2013 15:59:26,1.2,7.6,8.8
04/06/2013 15:59:27,1.2,7.6,8.8
04/06/2013 15:59:29,1.2,7.6,8.8
04/06/2013 15:59:30,1.2,7.6,8.8
04/06/2013 15:59:31,1.2,7.6,8.8
04/06/2013 15:59:33,1.2,7.6,8.8
04/06/2013 15:59:34,1.3,8.0,9.3
04/06/2013 15:59:36,1.3,8.0,9.3
04/06/2013 15:59:37,1.3,8.0,9.3
04/06/2013 15:59:38,1.3,8.0,9.3
04/06/2013 15:59:40,1.3,8.0,9.3
04/06/2013 15:59:41,1.3,8.0,9.3
04/06/2013 15:59:42,1.3,8.0,9.3
04/06/2013 15:59:44,1.3,8.0,9.3
04/06/2013 15:59:45,1.3,8.0,9.3
04/06/2013 15:59:46,1.3,8.0,9.3
04/06/2013 15:59:48,1.5,8.3,9.8
04/06/2013 15:59:49,1.5,8.3,9.8
04/06/2013 15:59:50,1.5,8.3,9.8
04/06/2013 15:59:52,1.5,8.3,9.8
04/06/2013 15:59:53,1.5,8.3,9.8
04/06/2013 15:59:54,1.5,8.3,9.8
04/06/2013 15:59:56,1.6,8.6,10.2
04/06/2013 15:59:57,1.6,8.6,10.2
04/06/2013 15:59:58,1.6,8.6,10.2
04/06/2013 16:00:00,1.6,8.6,10.2
04/06/2013 16:00:01,1.6,8.6,10.2
04/06/2013 16:00:02,1.6,8.6,10.2
04/06/2013 16:00:04,1.6,8.6,10.2
04/06/2013 16:00:05,1.9,9.0,10.8
04/06/2013 16:00:06,1.9,9.0,10.8
04/06/2013 16:00:08,1.9,9.0,10.8
04/06/2013 16:00:09,1.9,9.0,10.8
04/06/2013 16:00:10,1.9,9.0,10.8
04/06/2013 16:00:12,1.9,9.0,10.8
04/06/2013 16:00:13,2.2,9.4,11.6
04/06/2013 16:00:15,2.2,9.4,11.6
04/06/2013 16:00:16,2.2,9.4,11.6
04/06/2013 16:00:17,2.2,9.4,11.6
04/06/2013 16:00:19,2.2,9.4,11.6
04/06/2013 16:00:20,2.2,9.4,11.6
04/06/2013 16:00:21,2.2,9.4,12.3
04/06/2013 16:00:23,2.4,10.0,12.3
04/06/2013 16:00:24,2.4,10.0,12.3
04/06/2013 16:00:25,2.4,10.0,12.3
04/06/2013 16:00:27,2.4,10.0,12.3
04/06/2013 16:00:28,2.4,10.0,12.3
04/06/2013 16:00:29,2.4,10.0,12.3
